origin,sector,destination,value
JPN,OTM,VNM,232.074579744996
JPN,OTM,THA,178.57234909516973
JPN,OTM,MYS,108.989909626923
JPN,OTM,IDN,98.8668457088026
JPN,OTM,SGP,230.67156255614208
JPN,OTM,PHL,153.94723449977133
JPN,OTM,IND,56.815957434835056
JPN,OTM,MEX,62.24314766285189
JPN,OTM,ROW,2338.024613086788
JPN,SRV,CHN,33440.11536070143
JPN,SRV,USA,73937.00813831425
JPN,SRV,JPN,4927793.472
JPN,SRV,KOR,8958.366322647327
JPN,SRV,EU27,35488.8255394501
JPN,SRV,VNM,3878.917052988121
JPN,SRV,THA,9373.706089995641
JPN,SRV,MYS,2316.2188416286276
JPN,SRV,IDN,4533.654223986126
JPN,SRV,SGP,23988.29339806509
JPN,SRV,PHL,2325.81933858827
JPN,SRV,IND,5780.491203305961
JPN,SRV,MEX,2537.843507417347
JPN,SRV,ROW,82659.65198291163
KOR,AGF,CHN,1685.8776909803264
KOR,AGF,USA,1208.8294574522668
KOR,AGF,JPN,1664.8284044930406
KOR,AGF,KOR,177474.66499999998
KOR,AGF,EU27,1.0
KOR,AGF,VNM,644.9299291974743
KOR,AGF,THA,356.51494034296036
KOR,AGF,MYS,227.70603890422777
KOR,AGF,IDN,253.01372733093402
KOR,AGF,SGP,136.6994365097791
KOR,AGF,PHL,215.88847375530116
KOR,AGF,IND,79.87545263356756
KOR,AGF,MEX,48.77592597836118
KOR,AGF,ROW,3025.0865224217628
KOR,MIN,CHN,279.5287860621235
KOR,MIN,USA,17.545951566390848
KOR,MIN,JPN,51.79320275927321
KOR,MIN,KOR,3153.21
KOR,MIN,EU27,1.0
KOR,MIN,VNM,28.008313863959387
KOR,MIN,THA,22.10697686557146
KOR,MIN,MYS,4.579631557828
KOR,MIN,IDN,17.278442936804208
KOR,MIN,SGP,7.832923106197766
KOR,MIN,PHL,22.23004846389053
KOR,MIN,IND,5.383859367184874
KOR,MIN,MEX,3.6291159371604493
KOR,MIN,ROW,55.43674751361581
KOR,ENR,CHN,4340.211565342557
KOR,ENR,USA,5897.0001517294595
KOR,ENR,JPN,4803.442201165164
KOR,ENR,KOR,97702.71500000003
KOR,ENR,EU27,1.0
KOR,ENR,VNM,3419.726876889157
KOR,ENR,THA,331.3192621743476
KOR,ENR,MYS,3059.8617002569404
KOR,ENR,IDN,1656.3732252781429
KOR,ENR,SGP,6970.076216156923
KOR,ENR,PHL,4099.705944340071
KOR,ENR,IND,1051.3452536249267
KOR,ENR,MEX,195.14312183540787
KOR,ENR,ROW,22908.712481206894
KOR,CHM,CHN,31916.163076181474
KOR,CHM,USA,10357.986217720103
KOR,CHM,JPN,5626.3081015581
KOR,CHM,KOR,238698.472
KOR,CHM,EU27,1.0
KOR,CHM,VNM,5348.7168879039145
KOR,CHM,THA,1691.6138475872635
KOR,CHM,MYS,1568.0725692421236
KOR,CHM,IDN,1963.3840282107763
KOR,CHM,SGP,928.286135899106
KOR,CHM,PHL,826.0284746344677
KOR,CHM,IND,3550.769812560178
KOR,CHM,MEX,1340.956323412339
KOR,CHM,ROW,33420.845525090146
KOR,TXL,CHN,1539.360869828569
KOR,TXL,USA,1563.136600494998
KOR,TXL,JPN,640.3381229598854
KOR,TXL,KOR,54802.79600000001
KOR,TXL,EU27,1.0
KOR,TXL,VNM,2590.692440125194
KOR,TXL,THA,140.97695372950886
KOR,TXL,MYS,48.14119639656831
KOR,TXL,IDN,810.7604027685746
KOR,TXL,SGP,49.63829871021084
KOR,TXL,PHL,184.6034659668454
KOR,TXL,IND,154.85943395113057
KOR,TXL,MEX,121.51120712618938
KOR,TXL,ROW,3645.7550079423245
KOR,WDP,CHN,569.3082804707653
KOR,WDP,USA,887.8334599396819
KOR,WDP,JPN,209.2304907240319
KOR,WDP,KOR,43987.921
