input,region,output,value
AGF,CHN,MAC,0.0028574640552272105
MIN,CHN,MAC,0.0010328069775358045
ENR,CHN,MAC,0.004175032619872811
CHM,CHN,MAC,0.03700768307882626
TXL,CHN,MAC,0.0068724277272506785
WDP,CHN,MAC,0.006590986015228269
NMM,CHN,MAC,0.23283309343084713
MAC,CHN,MAC,0.19527599483510485
ELE,CHN,MAC,0.07815883661972864
VEH,CHN,MAC,0.008883249971837688
OTM,CHN,MAC,0.002173289786279623
SRV,CHN,MAC,0.15349589554997056
AGF,CHN,ELE,0.0016177757940851309
MIN,CHN,ELE,0.0006499576957635671
ENR,CHN,ELE,0.003491292086129898
CHM,CHN,ELE,0.046094912834257165
TXL,CHN,ELE,0.004231898470888511
WDP,CHN,ELE,0.007430432317512367
NMM,CHN,ELE,0.10888782445439216
MAC,CHN,ELE,0.018119283598658345
ELE,CHN,ELE,0.44022903236354244
VEH,CHN,ELE,0.0026226015215742218
OTM,CHN,ELE,0.002311835400796722
SRV,CHN,ELE,0.1725972533267208
AGF,CHN,VEH,0.0010207206949624775
MIN,CHN,VEH,0.0004533410742828094
ENR,CHN,VEH,0.004601184450281291
CHM,CHN,VEH,0.051716743218320003
TXL,CHN,VEH,0.018185206164642285
WDP,CHN,VEH,0.005436894874781445
NMM,CHN,VEH,0.12914505345851834
MAC,CHN,VEH,0.0343910964309513
ELE,CHN,VEH,0.049561864180457146
VEH,CHN,VEH,0.3286029015905899
OTM,CHN,VEH,0.0017314726167773837
SRV,CHN,VEH,0.1452174719990296
AGF,CHN,OTM,0.024932276097153358
MIN,CHN,OTM,0.0016826076778162626
ENR,CHN,OTM,0.009084795194610785
CHM,CHN,OTM,0.10334109250436838
TXL,CHN,OTM,0.1069116834748622
WDP,CHN,OTM,0.08704956051664056
NMM,CHN,OTM,0.11189451759629447
MAC,CHN,OTM,0.022265787665723978
ELE,CHN,OTM,0.029763415387058723
VEH,CHN,OTM,0.004286822370657808
OTM,CHN,OTM,0.03991727123418158
SRV,CHN,OTM,0.1782945470631726
AGF,CHN,SRV,0.031243029158951736
MIN,CHN,SRV,0.017035456706694218
ENR,CHN,SRV,0.03140964154525191
CHM,CHN,SRV,0.02808992493947154
TXL,CHN,SRV,0.008449978798440796
WDP,CHN,SRV,0.019200923968029002
NMM,CHN,SRV,0.0713367051066586
MAC,CHN,SRV,0.008507876554154862
ELE,CHN,SRV,0.020505686294436554
VEH,CHN,SRV,0.00554490512189911
OTM,CHN,SRV,0.002904700183976711
SRV,CHN,SRV,0.26060288768018625
AGF,USA,AGF,0.24297251145053528
MIN,USA,AGF,0.0009820712764976832
ENR,USA,AGF,0.020665586995372902
CHM,USA,AGF,0.051308657908252606
TXL,USA,AGF,0.0005786647572230128
WDP,USA,AGF,0.01151644299586178
NMM,USA,AGF,0.01267399472442146
MAC,USA,AGF,0.002752799839118247
ELE,USA,AGF,0.0017303497845427794
VEH,USA,AGF,0.0005880452565103826
OTM,USA,AGF,0.0037059002404486088
SRV,USA,AGF,0.31778228126881514
AGF,USA,MIN,0.0004040922830526372
MIN,USA,MIN,0.025969916671848805
ENR,USA,MIN,0.04254596996809045
CHM,USA,MIN,0.01748763729637149
TXL,USA,MIN,0.00035383687131878715
WDP,USA,MIN,0.0017794751316155466
NMM,USA,MIN,0.015340565486766041
MAC,USA,MIN,0.011135604839489457
ELE,USA,MIN,0.002724436217841992
VEH,USA,MIN,0.0011710809255628587
OTM,USA,MIN,0.004669237662356755
SRV,USA,MIN,0.22670356667967761
AGF,USA,ENR,0.00023233643411867198
MIN,USA,ENR,0.011721579488034138
ENR,USA,ENR,0.36070228826829914
CHM,USA,ENR,0.012791148755700832
TXL,USA,ENR,0.00021581558984410849
WDP,USA,ENR,0.0007486747962575588
NMM,USA,ENR,0.01243161830772013
